title,author,genre,ageRange,series,number,pov,timePeriod,place,protagonist.name,protagonist.lifeStage,protagonist.gender,protagonist.disability,protagonist.lgbtq,protagonist.ethnicity,protagonist.occupation,pocPresence,lgbtqPresence,type,culture,magic,races,creatures,crime,mood,pairing,subgenre,tropes,loveInterest.name,loveInterest.lifeStage,loveInterest.gender,loveInterest.disability,loveInterest.lgbtq,loveInterest.ethnicity,loveInterest.occupation,spice
The Winter of the Witch,Katherine Arden,FANTASY,ADULT,The Winternight Trilogy,3,THIRD MULTIPLE,MEDIEVAL,MULTIPLE,Vasya,TEEN,FEMALE,N,STRAIGHT,WHITE,CHILD,N,N,LOW,SLAVIC,Y,NONE,DEMON,,,,,,,,,,,,,
A Shadow in the Ember,Jennifer L Armentrout,FANTASY,NA,Flesh and Fire,1,FIRST,FANTASY,CITY,Seraphena Mierel,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS,DRAGON; UNDEAD,,,,,,,,,,,,,
A Light in the Flame,Jennifer L Armentrout,FANTASY,NA,Flesh and Fire,2,FIRST,FANTASY,MULTIPLE,Seraphena Mierel,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS,DRAGON; UNDEAD,,,,,,,,,,,,,
A Fire in the Flesh,Jennifer L Armentrout,FANTASY,NA,Flesh and Fire,3,FIRST,FANTASY,CITY,Seraphena Mierel,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS; MERFOLK,DRAGON; UNDEAD,,,,,,,,,,,,,
From Blood and Ash,Jennifer L Armentrout,FANTASY,NA,Blood and Ash,1,FIRST,FANTASY,MULTIPLE,Poppy Balfour,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS; WEREWOLVES; VAMPIRES,UNDEAD,,,,,,,,,,,,,
A Kingdom of Flesh and Fire,Jennifer L Armentrout,FANTASY,NA,Blood and Ash,2,FIRST,FANTASY,MULTIPLE,Poppy Balfour,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS; WEREWOLVES; VAMPIRES,UNDEAD,,,,,,,,,,,,,
The Crown of Gilded Bones,Jennifer L Armentrout,FANTASY,NA,Blood and Ash,3,FIRST,FANTASY,MULTIPLE,Poppy Balfour,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS; WEREWOLVES; VAMPIRES; SHAPESHIFTERS,UNDEAD,,,,,,,,,,,,,
A War of Two Queens,Jennifer L Armentrout,FANTASY,NA,Blood and Ash,4,FIRST MULTIPLE,FANTASY,MULTIPLE,Poppy Balfour,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS; WEREWOLVES; VAMPIRES; SHAPESHIFTERS,UNDEAD,,,,,,,,,,,,,
A Soul of Ash and Blood,Jennifer L Armentrout,FANTASY,NA,Blood and Ash,5,FIRST MULTIPLE,FANTASY,MULTIPLE,Casteel Da'Neer,IMMORTAL,MALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS; WEREWOLVES; VAMPIRES; SHAPESHIFTERS,UNDEAD,,,,,,,,,,,,,
Fall of Ruin and Wrath,Jennifer L Armentrout,FANTASY,NA,Awakening,1,FIRST,FANTASY,CITY,Calista,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,SERVANT,N,N,HIGH,EUROPEAN,Y,DEMIGODS,NONE,,,,,,,,,,,,,
Ninth House,Leigh Bardugo,FANTASY,NA,Alex Stern,1,THIRD MULTIPLE,MODERN,SCHOOL/COLLEGE,Alex Stern,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Hell Bent,Leigh Bardugo,FANTASY,NA,Alex Stern,2,THIRD MULTIPLE,MODERN,SCHOOL/COLLEGE,Alex Stern,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,NONE,DEMON,,,,,,,,,,,,,
The Cruel Prince,Holly Black,FANTASY,NA,The Folk of the Air,1,FIRST,MODERN,COURT,Jude,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,FAE,NONE,,,,,,,,,,,,,
The Queen of Nothing,Holly Black,FANTASY,NA,The Folk of the Air,2,FIRST,MODERN,COURT,Jude,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,STUDENT,N,N,LOW,EUROPEAN,Y,FAE,NONE,,,,,,,,,,,,,
The Wicked King,Holly Black,FANTASY,NA,The Folk of the Air,3,FIRST,MODERN,COURT,Jude,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,LOW,EUROPEAN,Y,HUMANS; FAE; MERFOLK,NONE,,,,,,,,,,,,,
Book of Night,Holly Black,FANTASY,ADULT,Book of Night,1,THIRD,MODERN,CITY,Charlie Hall,ADULT,FEMALE,N,STRAIGHT,WHITE,HOSPITALITY,N,N,LOW,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
A Promise of Fire,Amanda Bouchet,FANTASY,NA,Kingmaker Chronicles,1,FIRST,FANTASY,MULTIPLE,Cat Fisa,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,NONE,DRAGON; CENTAUR,,,,,,,,,,,,,
Breath of Fire,Amanda Bouchet,FANTASY,NA,Kingmaker Chronicles,2,FIRST,FANTASY,MULTIPLE,Cat Fisa,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS,DRAGON; CENTAUR,,,,,,,,,,,,,
Heart on Fire,Amanda Bouchet,FANTASY,NA,Kingmaker Chronicles,3,FIRST,FANTASY,MULTIPLE,Cat Fisa,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS,DRAGON; CENTAUR,,,,,,,,,,,,,
A Curse of Queens,Amanda Bouchet,FANTASY,NA,Kingmaker Chronicles,4,THIRD MULTIPLE,FANTASY,MULTIPLE,Jocasta,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS,DRAGON; CENTAUR; MINOTAUR,,,,,,,,,,,,,
The Serpent and the Wings of Night,Carissa Broadbent,FANTASY,NA,Crowns of Nyaxia,1,FIRST,FANTASY,CITY,Oraya,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS; VAMPIRES,NONE,,,,,,,,,,,,,
The Ashes and the Star-Cursed King,Carissa Broadbent,FANTASY,NA,Crowns of Nyaxia,2,FIRST,FANTASY,CITY,Oraya,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,N,HIGH,EUROPEAN,Y,GODS; VAMPIRES,NONE,,,,,,,,,,,,,
The Mask of Mirrors,M A Carrick,FANTASY,ADULT,Rook & Rose,1,THIRD MULTIPLE,FANTASY,CITY,Ren,YOUNG ADULT,FEMALE,N,STRAIGHT,MIXED RACE,SOCIALITE,Y,Y,HIGH,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
The Liar's Knot,M A Carrick,FANTASY,ADULT,Rook & Rose,2,THIRD MULTIPLE,FANTASY,CITY,Ren,YOUNG ADULT,FEMALE,N,STRAIGHT,MIXED RACE,SOCIALITE,Y,Y,HIGH,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Labyrinth's Heart,M A Carrick,FANTASY,ADULT,Rook & Rose,3,THIRD MULTIPLE,FANTASY,CITY,Ren,YOUNG ADULT,FEMALE,N,STRAIGHT,MIXED RACE,SOCIALITE,Y,Y,HIGH,EUROPEAN,Y,NONE,NONE,,,,,,,,,,,,,
Graceling,Kristin Cashore,FANTASY,YA,Graceling Realm,1,THIRD,FANTASY,MULTIPLE,Katsa,TEEN,FEMALE,N,STRAIGHT,WHITE,COVERT,N,N,HIGH,EUROPEAN,N,NONE,NONE,,,,,,,,,,,,,
Fire,Kristin Cashore,FANTASY,YA,Graceling Realm,2,THIRD,FANTASY,MULTIPLE,Fire,TEEN,FEMALE,N,BISEXUAL,BLACK,NOBLE,Y,N,HIGH,EUROPEAN,N,NONE,NONE,,,,,,,,,,,,,
Bitterblue,Kristin Cashore,FANTASY,YA,Graceling Realm,3,THIRD,FANTASY,COURT,Bitterblue,YOUNG ADULT,FEMALE,N,STRAIGHT,WHITE,ROYAL,N,Y,HIGH,EUROPEAN,N,NONE,NONE,,,,,,,,,,,,,
The City of Brass,S A Chakraborty,FANTASY,ADULT,The Daevabad Trilogy,1,THIRD MULTIPLE,MEDIEVAL,MULTIPLE,Nahri,YOUNG ADULT,FEMALE,N,STRAIGHT,MIDDLE EASTERN,MAGE,Y,Y,HIGH,MIDDLE EASTERN,Y,NONE,DJINN; IFRIT,,,,,,,,,,,,,
The Kingdom of Copper,S A Chakraborty,FANTASY,ADULT,The Daevabad Trilogy,2,THIRD MULTIPLE,MEDIEVAL,MULTIPLE,Nahri,YOUNG ADULT,FEMALE,N,STRAIGHT,MIDDLE EASTERN,MAGE,Y,Y,HIGH,MIDDLE EASTERN,Y,NONE,DJINN; IFRIT,,,,,,,,,,,,,
The Empire of Gold,S A Chakraborty,FANTASY,ADULT,The Daevabad Trilogy,3,THIRD MULTIPLE,MEDIEVAL,MULTIPLE,Nahri,YOUNG ADULT,FEMALE,N,STRAIGHT,MIDDLE EASTERN,MAGE,Y,Y,HIGH,MIDDLE EASTERN,Y,NONE,DJINN; IFRIT,,,,,,,,,,,,,
